,Season,WTeamID,WScore,LTeamID,LScore,NumTeamWon,Loc,FGMR,FGAR,FGMR3,FGAR3,FTMR,FTAR,ORR,DRR,AstR,TOR,StlR,BlkR,PFR
18,2003.0,1139.0,47.0,1280.0,46.0,1.0,0.0,1.125,1.068,0.833,0.857,0.75,0.571,0.875,0.864,0.5,0.8,0.5,0.25,1.154
19,2003.0,1196.0,85.0,1358.0,55.0,0.0,0.0,0.594,0.934,0.462,0.643,1.375,1.286,1.333,0.806,0.417,1.6,0.167,1.333,1.067
20,2003.0,1231.0,67.0,1104.0,62.0,0.0,0.0,1.158,1.061,0.714,0.667,0.591,0.615,0.692,0.909,0.867,1.0,2.0,3.0,1.235
21,2003.0,1246.0,95.0,1237.0,64.0,1.0,0.0,1.818,1.083,2.5,1.333,0.312,0.5,0.667,1.389,2.2,0.684,1.0,4.0,1.133
22,2003.0,1257.0,86.0,1122.0,64.0,0.0,0.0,0.686,0.771,0.25,0.875,1.75,1.692,0.533,0.724,0.611,1.5,0.417,0.75,0.818
23,2003.0,1268.0,75.0,1423.0,73.0,1.0,0.0,1.35,0.982,0.769,0.655,0.55,0.577,0.8,1.421,1.062,1.625,0.429,3.0,1.053
24,2003.0,1277.0,79.0,1160.0,64.0,0.0,0.0,1.0,1.071,0.714,1.077,0.35,0.68,1.2,0.821,0.562,1.182,1.2,8.0,1.056
25,2003.0,1329.0,77.0,1335.0,63.0,1.0,0.0,1.35,1.22,0.875,1.111,1.067,1.75,5.0,1.154,0.882,0.611,2.4,1.0,0.85
26,2003.0,1338.0,87.0,1447.0,61.0,1.0,0.0,1.571,1.157,1.286,0.762,1.0,1.167,1.111,1.15,1.692,0.474,2.333,3.0,0.95
27,2003.0,1345.0,80.0,1261.0,56.0,0.0,0.0,0.741,1.154,0.667,1.625,0.588,0.895,2.125,0.72,1.0,0.842,0.778,3.0,0.722
28,2003.0,1393.0,76.0,1264.0,65.0,0.0,0.0,0.733,1.173,1.5,1.909,1.25,1.2,1.273,0.5,1.0,0.611,1.8,0.222,0.824
29,2003.0,1400.0,82.0,1421.0,61.0,1.0,0.0,1.348,1.0,1.2,0.762,1.4,1.667,1.462,1.75,3.0,1.273,0.667,0.667,1.0
30,2003.0,1428.0,60.0,1332.0,58.0,1.0,0.0,0.947,1.109,3.0,1.353,0.882,0.75,1.0,0.793,1.0,0.882,1.167,2.0,1.0
31,2003.0,1448.0,76.0,1190.0,73.0,0.0,0.0,0.828,0.87,0.833,0.435,1.667,1.4,0.684,0.862,0.538,0.789,1.5,0.444,1.053
32,2003.0,1462.0,71.0,1407.0,59.0,0.0,0.0,0.885,1.016,1.833,1.45,0.154,0.333,0.706,0.7,0.684,0.9,1.2,1.5,1.727
33,2003.0,1112.0,96.0,1211.0,95.0,0.0,0.0,1.0,1.041,1.571,1.25,0.762,0.724,0.889,0.931,1.111,1.222,0.714,1.25,1.25
34,2003.0,1163.0,85.0,1390.0,74.0,1.0,0.0,1.148,1.097,0.75,0.435,1.417,1.235,1.545,1.182,1.0,0.818,2.0,0.167,0.722
35,2003.0,1181.0,86.0,1141.0,60.0,0.0,0.0,0.656,1.096,0.8,1.133,0.833,0.875,3.5,0.826,0.571,1.909,0.267,0.222,0.778
36,2003.0,1242.0,108.0,1113.0,76.0,1.0,0.0,1.429,0.855,1.25,0.6,1.438,1.478,0.706,2.0,1.909,1.182,0.857,1.2,0.952
37,2003.0,1266.0,101.0,1281.0,92.0,1.0,0.0,1.129,0.861,0.8,0.5,1.267,1.053,0.444,1.25,0.947,1.0,1.5,0.25,1.176
38,2003.0,1323.0,68.0,1228.0,60.0,0.0,0.0,0.88,1.033,0.385,0.708,2.2,3.2,2.0,0.969,1.0,0.818,1.2,0.75,0.769
39,2003.0,1328.0,74.0,1143.0,65.0,1.0,0.0,0.963,0.981,1.4,0.812,2.5,2.0,2.167,1.278,2.667,1.333,0.4,0.5,0.652
40,2003.0,1458.0,61.0,1409.0,60.0,1.0,0.0,0.846,0.966,2.0,2.0,2.2,3.4,0.909,0.733,1.0,0.455,5.0,1.0,0.688
41,2003.0,1120.0,68.0,1448.0,62.0,0.0,0.0,0.75,0.875,2.0,1.211,1.125,1.05,1.0,1.095,0.455,1.286,0.778,1.167,1.278
42,2003.0,1139.0,79.0,1257.0,71.0,1.0,0.0,0.964,0.963,1.273,0.88,2.75,4.75,1.25,0.947,1.615,0.857,0.75,1.0,0.524
43,2003.0,1246.0,74.0,1428.0,54.0,1.0,0.0,1.368,1.146,1.0,0.929,1.5,1.125,1.625,1.571,1.375,0.812,0.571,1.5,0.842
44,2003.0,1268.0,77.0,1462.0,64.0,0.0,0.0,0.667,0.983,2.333,1.385,1.214,1.412,1.143,0.625,0.632,0.875,1.0,0.167,0.762
45,2003.0,1277.0,68.0,1196.0,46.0,1.0,0.0,1.562,1.047,1.2,0.762,1.333,1.5,1.125,1.5,1.667,0.714,2.5,1.0,0.9
46,2003.0,1338.0,74.0,1231.0,52.0,0.0,0.0,0.76,0.936,1.5,1.889,0.4,0.357,0.5,0.714,0.867,1.455,0.333,2.0,1.286
47,2003.0,1393.0,68.0,1329.0,56.0,0.0,0.0,0.846,1.105,0.6,1.583,0.818,1.056,2.2,0.818,1.0,1.294,0.727,0.444,1.0
48,2003.0,1400.0,77.0,1345.0,67.0,0.0,0.0,0.92,1.0,1.0,1.455,0.727,0.923,1.0,0.815,1.25,1.0,1.75,2.0,1.143
49,2003.0,1112.0,88.0,1323.0,71.0,1.0,0.0,1.44,1.288,0.7,0.609,0.818,0.611,1.556,1.111,1.267,0.526,2.0,1.25,1.062
50,2003.0,1242.0,69.0,1181.0,65.0,1.0,0.0,1.16,1.031,0.1,0.462,2.0,2.125,1.636,1.318,1.273,1.214,0.667,0.714,0.889
51,2003.0,1246.0,63.0,1458.0,57.0,1.0,0.0,1.263,1.089,0.125,0.238,1.273,1.5,1.714,1.105,1.0,0.933,1.429,4.0,0.85
52,2003.0,1266.0,77.0,1338.0,74.0,0.0,0.0,1.036,1.019,0.667,1.167,0.8,0.682,1.0,1.111,1.125,1.2,0.857,1.333,1.056
53,2003.0,1277.0,60.0,1268.0,58.0,1.0,0.0,1.1,1.037,3.0,1.062,0.625,0.667,1.222,1.083,1.25,1.2,0.667,0.75,1.333
54,2003.0,1328.0,65.0,1139.0,54.0,0.0,0.0,0.704,0.782,1.0,1.3,1.714,1.417,0.368,0.7,0.667,1.0,1.167,2.0,1.0
55,2003.0,1393.0,79.0,1120.0,78.0,1.0,0.0,1.074,1.048,0.5,0.636,1.143,1.235,1.071,0.808,0.933,0.588,1.8,1.4,0.895
56,2003.0,1400.0,82.0,1163.0,78.0,1.0,0.0,0.8,0.972,1.25,1.385,2.071,1.44,1.5,1.148,1.0,0.909,0.714,0.625,1.0
57,2003.0,1242.0,78.0,1112.0,75.0,1.0,0.0,1.261,1.218,0.8,1.182,0.632,0.783,1.364,0.846,1.0,0.789,1.625,2.5,1.176
58,2003.0,1266.0,83.0,1246.0,69.0,0.0,0.0,0.806,1.164,0.4,0.842,1.364,1.6,2.0,0.615,0.667,0.733,1.667,0.333,0.864
59,2003.0,1393.0,63.0,1328.0,47.0,1.0,0.0,1.389,0.828,0.4,0.429,1.833,1.727,0.857,2.0,1.6,1.263,1.0,0.5,0.812
60,2003.0,1400.0,85.0,1277.0,76.0,0.0,0.0,1.0,1.059,1.333,1.143,0.621,0.684,1.5,1.3,0.688,3.0,0.167,0.5,1.273
61,2003.0,1242.0,94.0,1266.0,61.0,1.0,0.0,1.652,0.959,2.667,1.188,0.833,0.944,0.905,1.833,3.143,1.091,1.143,1.667,0.882
62,2003.0,1393.0,95.0,1400.0,84.0,1.0,0.0,1.185,0.889,0.7,0.619,1.2,0.969,0.529,1.647,0.7,0.929,1.5,1.0,0.808
63,2003.0,1393.0,81.0,1242.0,78.0,1.0,0.0,0.968,0.887,2.75,0.9,0.833,0.567,0.423,0.962,0.722,0.944,1.111,1.75,1.375
64,2004.0,1197.0,72.0,1250.0,57.0,1.0,0.0,1.389,1.033,0.857,0.667,1.143,1.211,0.905,1.19,0.917,0.706,1.143,0.667,0.75
65,2004.0,1104.0,65.0,1356.0,64.0,0.0,0.0,1.0,1.113,1.714,1.375,0.4,0.312,0.909,0.833,2.143,0.833,0.571,0.5,2.0
66,2004.0,1163.0,70.0,1436.0,53.0,1.0,0.0,1.368,0.867,0.545,0.438,3.0,3.833,1.0,1.722,1.4,1.083,0.857,3.0,0.421
67,2004.0,1177.0,76.0,1173.0,69.0,0.0,0.0,1.125,1.339,0.6,1.538,0.522,0.575,1.636,0.842,0.846,0.909,1.25,1.0,1.526
68,2004.0,1181.0,96.0,1106.0,61.0,0.0,0.0,0.688,0.864,0.778,0.769,0.435,0.548,0.529,0.759,0.368,1.5,0.5,0.25,1.053
69,2004.0,1211.0,76.0,1434.0,49.0,1.0,0.0,1.611,0.857,0.5,0.565,2.143,2.273,1.0,1.714,2.375,1.154,1.0,5.0,0.7
70,2004.0,1264.0,75.0,1196.0,60.0,0.0,0.0,0.808,0.75,0.5,0.867,0.882,1.048,0.308,0.957,0.4,1.4,0.5,1.0,0.857
71,2004.0,1268.0,86.0,1431.0,83.0,0.0,0.0,1.0,0.949,0.625,0.944,1.0,0.774,0.562,0.952,0.765,1.0,0.286,0.333,1.25
72,2004.0,1305.0,72.0,1277.0,66.0,0.0,0.0,1.15,1.196,0.714,0.727,0.6,0.621,1.2,0.87,1.4,0.824,1.5,0.5,1.562
73,2004.0,1314.0,63.0,1102.0,52.0,0.0,0.0,0.773,0.736,2.0,1.923,0.667,0.722,0.143,0.905,1.25,1.231,0.7,2.0,1.0
74,2004.0,1371.0,80.0,1112.0,76.0,0.0,0.0,1.037,0.914,0.625,0.5,0.833,0.792,0.583,1.048,1.0,1.4,0.667,3.0,0.789
75,2004.0,1386.0,82.0,1251.0,63.0,1.0,0.0,1.227,1.176,1.333,1.15,1.538,1.556,1.429,0.897,1.067,0.538,2.143,3.0,0.773
76,2004.0,1390.0,71.0,1427.0,45.0,0.0,0.0,0.556,1.167,0.333,1.071,1.182,1.4,2.0,0.586,0.182,0.95,0.727,0.333,0.75
77,2004.0,1393.0,80.0,1140.0,75.0,1.0,0.0,0.923,0.836,1.1,0.615,1.615,1.474,0.333,0.857,0.632,0.778,1.0,4.0,0.652
78,2004.0,1400.0,66.0,1343.0,49.0,1.0,0.0,1.278,0.98,2.2,0.577,1.125,1.167,1.889,1.857,0.909,1.857,0.6,1.0,0.889
79,2004.0,1403.0,76.0,1150.0,73.0,0.0,0.0,0.862,0.983,1.5,2.182,1.214,1.167,0.929,0.909,0.824,0.875,1.571,2.0,1.25
80,2004.0,1448.0,79.0,1433.0,78.0,1.0,0.0,0.966,0.947,0.545,0.8,1.889,2.077,1.286,1.15,0.941,0.647,1.0,0.5,0.727
81,2004.0,1130.0,58.0,1428.0,51.0,1.0,0.0,1.211,0.88,1.0,0.222,0.9,1.1,0.444,1.235,1.667,1.0,2.0,3.0,1.083
82,2004.0,1153.0,80.0,1190.0,77.0,0.0,0.0,1.0,1.194,0.462,0.719,1.444,1.818,1.417,0.636,0.636,0.353,3.667,0.273,0.737
83,2004.0,1210.0,65.0,1320.0,60.0,0.0,0.0,0.84,0.982,1.667,1.5,0.889,0.833,0.375,0.862,1.5,0.833,0.5,0.333,1.143
84,2004.0,1228.0,72.0,1293.0,53.0,0.0,0.0,0.63,0.817,0.889,0.833,1.222,1.308,0.562,0.643,0.421,1.25,0.8,0.4,0.765
85,2004.0,1242.0,78.0,1227.0,53.0,0.0,0.0,0.833,1.641,0.6,1.333,0.4,0.35,1.833,0.429,0.556,0.6,1.5,0.125,1.316
86,2004.0,1246.0,96.0,1197.0,76.0,1.0,0.0,1.167,0.939,1.0,0.933,3.0,1.917,1.083,1.706,1.769,1.0,0.615,5.0,0.789
87,2004.0,1272.0,59.0,1376.0,43.0,0.0,0.0,0.652,0.712,0.222,0.481,2.75,2.286,0.286,0.955,0.562,1.333,1.667,1.0,0.933
88,2004.0,1280.0,85.0,1284.0,52.0,1.0,0.0,1.667,1.098,0.889,0.815,2.429,1.533,4.333,2.0,1.583,1.0,1.714,3.0,0.722
89,2004.0,1301.0,61.0,1418.0,52.0,0.0,0.0,0.889,1.0,1.0,1.294,0.75,0.958,0.846,0.875,0.9,1.0,1.8,2.0,1.05
90,2004.0,1329.0,75.0,1186.0,56.0,1.0,0.0,1.429,0.932,0.667,0.316,1.182,1.231,0.917,1.733,0.789,1.071,1.5,2.5,1.067
91,2004.0,1334.0,66.0,1344.0,58.0,1.0,0.0,1.043,0.82,1.0,0.538,2.0,3.0,0.467,1.048,1.417,0.8,1.75,0.5,0.611
92,2004.0,1338.0,53.0,1416.0,44.0,1.0,0.0,0.812,0.846,1.0,0.8,3.143,3.1,1.111,1.125,0.7,0.929,1.333,1.0,0.682
93,2004.0,1412.0,102.0,1449.0,100.0,1.0,0.0,0.857,1.016,1.5,1.3,1.375,1.294,1.1,0.839,1.211,0.75,1.333,0.4,0.867
94,2004.0,1435.0,71.0,1444.0,58.0,1.0,0.0,1.182,0.73,5.5,1.0,0.667,1.125,0.444,1.389,1.6,1.417,0.692,5.0,0.789
95,2004.0,1458.0,76.0,1350.0,64.0,0.0,0.0,1.0,1.059,0.875,0.889,0.389,0.542,1.182,0.889,1.214,1.556,1.143,1.0,1.727
96,2004.0,1462.0,80.0,1257.0,70.0,0.0,0.0,1.087,1.37,1.111,1.778,0.4,0.448,1.083,0.481,1.2,0.667,1.167,1.0,1.917
97,2004.0,1104.0,70.0,1390.0,67.0,1.0,0.0,0.615,0.589,0.571,0.792,4.25,4.0,0.227,0.889,0.667,0.667,3.0,8.0,0.516
98,2004.0,1163.0,72.0,1177.0,55.0,0.0,0.0,0.769,0.983,1.0,0.938,0.667,0.565,0.692,0.839,0.8,1.6,0.2,0.2,1.333
99,2004.0,1181.0,90.0,1371.0,62.0,1.0,0.0,1.083,0.842,1.333,0.647,3.091,2.375,1.375,2.071,1.455,1.0,0.75,3.0,0.667
100,2004.0,1305.0,91.0,1211.0,72.0,1.0,0.0,1.071,0.853,2.667,0.773,1.769,1.611,0.737,1.45,2.0,0.8,1.0,4.0,0.783
101,2004.0,1386.0,70.0,1403.0,65.0,1.0,0.0,1.08,1.075,4.0,2.583,0.333,0.357,1.222,1.0,0.812,1.444,0.571,0.5,1.455
102,2004.0,1393.0,72.0,1268.0,70.0,1.0,0.0,1.1,1.058,1.333,1.0,0.889,1.0,1.0,0.929,0.846,0.706,1.4,0.833,0.962
103,2004.0,1400.0,78.0,1314.0,75.0,0.0,0.0,0.926,1.182,1.8,2.154,0.842,0.826,1.778,0.769,1.4,1.0,1.0,1.0,1.105
104,2004.0,1448.0,84.0,1264.0,80.0,1.0,0.0,1.0,0.905,1.143,1.0,1.2,1.2,1.0,1.208,1.0,1.25,1.0,0.667,0.783
105,2004.0,1210.0,57.0,1130.0,54.0,0.0,0.0,0.87,0.863,0.833,0.722,1.8,2.5,1.375,1.188,0.933,1.294,0.917,2.0,0.824
106,2004.0,1228.0,92.0,1153.0,68.0,0.0,0.0,0.771,1.055,0.636,0.842,0.636,0.786,7.0,1.053,0.538,3.25,0.111,5.0,1.0
107,2004.0,1242.0,78.0,1334.0,63.0,0.0,0.0,0.793,0.9,1.2,1.333,0.733,0.714,0.6,0.72,1.118,1.077,0.545,0.333,1.2
108,2004.0,1329.0,70.0,1272.0,53.0,0.0,0.0,0.714,1.064,1.2,1.417,0.778,0.824,0.786,0.55,0.5,0.706,0.75,3.0,0.938
109,2004.0,1338.0,59.0,1458.0,55.0,1.0,0.0,1.235,1.229,0.25,0.556,1.154,1.118,2.143,1.042,1.111,0.692,1.75,1.0,0.85
110,2004.0,1412.0,76.0,1246.0,75.0,0.0,0.0,0.9,0.91,0.875,1.111,1.75,1.385,1.111,1.4,0.684,1.333,0.444,4.0,0.842
111,2004.0,1435.0,75.0,1301.0,73.0,1.0,0.0,0.852,0.86,0.769,0.806,3.167,2.625,0.769,0.944,1.154,1.333,4.0,2.0,0.65
112,2004.0,1462.0,89.0,1280.0,74.0,1.0,0.0,1.154,0.764,1.444,0.731,1.231,1.095,0.333,1.455,1.0,1.625,0.273,3.0,0.667
113,2004.0,1104.0,80.0,1393.0,71.0,0.0,0.0,1.0,1.058,0.556,0.636,0.737,0.87,1.6,1.118,0.545,2.0,0.455,0.667,1.176
114,2004.0,1163.0,73.0,1435.0,53.0,0.0,0.0,0.741,1.118,1.333,1.412,0.385,0.533,0.545,0.455,0.786,0.611,1.333,0.25,1.4
115,2004.0,1329.0,63.0,1338.0,51.0,0.0,0.0,0.955,1.289,0.75,2.125,0.4,0.625,2.667,0.708,0.615,1.2,0.833,0.2,1.125
116,2004.0,1386.0,84.0,1448.0,80.0,0.0,0.0,0.931,0.879,0.667,0.667,1.286,1.087,0.7,1.05,1.0,1.364,0.75,0.25,1.048
117,2004.0,1181.0,72.0,1228.0,62.0,0.0,0.0,0.929,1.255,0.667,0.722,0.6,0.733,2.8,0.917,0.895,0.923,0.5,0.4,1.071
118,2004.0,1210.0,72.0,1305.0,67.0,0.0,0.0,0.815,1.095,0.833,1.111,1.5,1.091,1.231,0.806,0.5,0.688,0.444,0.6,1.0
119,2004.0,1242.0,100.0,1412.0,74.0,1.0,0.0,1.304,0.789,0.5,0.303,1.8,1.833,0.714,1.842,1.75,1.417,0.692,0.75,0.704
120,2004.0,1462.0,79.0,1400.0,71.0,0.0,0.0,1.13,1.069,0.875,0.64,0.48,0.486,0.875,0.913,0.923,1.143,0.167,2.0,1.25
121,2004.0,1163.0,87.0,1104.0,71.0,0.0,0.0,0.862,1.0,0.6,1.118,0.789,0.621,0.8,0.84,0.824,1.286,0.667,0.714,1.278
122,2004.0,1329.0,64.0,1386.0,62.0,0.0,0.0,0.88,1.075,2.0,1.529,1.0,0.867,0.5,0.6,1.154,0.385,4.0,0.5,0.875
123,2004.0,1181.0,66.0,1462.0,63.0,1.0,0.0,0.955,0.857,2.667,1.333,1.0,0.87,0.625,1.208,1.875,1.1,1.2,7.0,1.095
124,2004.0,1210.0,79.0,1242.0,71.0,0.0,0.0,1.04,1.161,2.0,1.188,0.5,0.559,1.091,0.867,1.071,1.25,0.615,1.0,1.529
125,2004.0,1163.0,79.0,1181.0,78.0,0.0,0.0,1.115,1.365,1.0,2.0,0.667,0.719,1.308,0.645,1.222,0.5,1.6,0.5,1.2
126,2004.0,1210.0,67.0,1329.0,65.0,0.0,0.0,0.917,1.02,0.571,0.882,1.417,1.562,1.714,0.955,0.625,1.083,0.429,0.25,0.789
127,2004.0,1163.0,82.0,1210.0,73.0,1.0,0.0,0.963,0.859,0.714,0.773,2.083,1.857,1.0,1.28,1.111,1.143,0.5,2.0,0.692
128,2005.0,1324.0,79.0,1105.0,69.0,0.0,0.0,0.793,1.035,1.429,1.867,0.929,0.9,0.714,0.655,1.143,0.824,3.0,1.5,1.214
129,2005.0,1112.0,66.0,1429.0,53.0,0.0,0.0,0.87,1.122,1.167,1.357,0.429,0.556,1.333,0.833,1.667,1.091,2.0,0.5,1.333
130,2005.0,1130.0,85.0,1335.0,65.0,0.0,0.0,0.833,1.365,1.25,2.5,0.294,0.4,2.0,0.545,0.708,0.895,1.375,0.333,1.357
131,2005.0,1153.0,76.0,1234.0,64.0,1.0,0.0,1.35,0.966,1.8,1.059,0.684,0.88,0.562,1.0,3.6,0.727,0.833,8.0,0.95
132,2005.0,1211.0,74.0,1457.0,64.0,1.0,0.0,1.227,0.983,0.5,0.615,1.5,1.833,1.1,1.115,0.812,0.769,1.25,5.0,0.737
133,2005.0,1228.0,67.0,1192.0,55.0,1.0,0.0,1.0,0.947,1.5,1.312,3.0,1.909,0.533,0.815,1.455,0.471,1.333,0.667,0.684
134,2005.0,1246.0,72.0,1184.0,64.0,0.0,0.0,1.0,1.157,3.0,1.636,0.333,0.423,1.444,1.0,1.273,1.214,0.556,0.25,1.818
135,2005.0,1305.0,61.0,1400.0,57.0,0.0,0.0,1.043,1.097,1.667,0.714,0.333,0.333,0.812,0.818,0.182,0.625,1.25,0.857,1.143
136,2005.0,1328.0,84.0,1310.0,67.0,0.0,0.0,0.706,0.919,2.0,2.154,1.0,1.0,0.786,0.765,0.75,1.143,0.889,0.667,1.143
137,2005.0,1334.0,79.0,1338.0,71.0,1.0,0.0,1.04,0.932,1.25,0.87,1.308,1.278,1.0,1.25,1.5,1.2,0.286,0.333,0.9
138,2005.0,1403.0,78.0,1417.0,66.0,0.0,0.0,0.812,1.154,2.0,2.857,0.727,0.938,2.25,0.643,0.762,0.929,0.714,1.0,1.071
139,2005.0,1412.0,82.0,1261.0,68.0,0.0,0.0,0.852,1.085,0.857,1.938,0.762,0.611,1.455,1.083,0.667,1.4,0.75,2.5,1.13
140,2005.0,1428.0,60.0,1431.0,54.0,1.0,0.0,0.955,0.925,3.0,2.667,1.5,2.222,3.0,1.471,1.154,1.8,1.167,4.0,0.65
141,2005.0,1448.0,70.0,1151.0,54.0,1.0,0.0,1.143,1.115,1.333,1.4,2.333,2.333,1.364,0.917,1.333,0.682,2.0,2.0,0.632
142,2005.0,1449.0,88.0,1285.0,77.0,1.0,0.0,0.97,0.892,1.0,0.95,7.5,2.75,0.75,1.095,1.267,0.889,1.8,1.0,0.875
143,2005.0,1452.0,63.0,1166.0,61.0,0.0,0.0,0.955,1.087,1.0,1.0,1.0,1.0,1.25,0.81,0.632,1.062,0.667,0.75,1.067
144,2005.0,1454.0,83.0,1104.0,73.0,1.0,0.0,1.0,1.0,1.333,0.913,1.583,1.75,0.667,0.636,1.176,0.368,2.0,0.333,0.9
145,2005.0,1137.0,64.0,1242.0,63.0,1.0,0.0,1.1,1.196,8.0,2.818,0.545,0.593,1.125,0.808,1.214,0.692,2.0,0.333,1.4
146,2005.0,1163.0,77.0,1416.0,71.0,0.0,0.0,0.724,1.052,3.667,4.667,1.125,0.84,0.857,0.586,0.941,0.769,1.429,1.0,1.615
147,2005.0,1181.0,57.0,1175.0,46.0,0.0,0.0,1.188,1.333,0.833,0.75,0.158,0.207,1.8,0.778,1.111,1.375,0.6,0.167,1.533
148,2005.0,1196.0,67.0,1325.0,62.0,1.0,0.0,1.167,1.174,0.778,1.278,1.059,0.731,1.1,0.913,1.875,0.8,1.375,1.6,1.0
149,2005.0,1210.0,80.0,1203.0,68.0,0.0,0.0,1.036,1.161,0.857,1.0,0.235,0.727,1.2,0.688,1.727,0.824,0.9,1.333,0.909
150,2005.0,1235.0,64.0,1278.0,53.0,1.0,0.0,1.19,0.905,0.4,0.348,2.0,1.9,0.75,1.143,1.375,0.765,1.333,8.0,0.944
151,2005.0,1257.0,68.0,1418.0,62.0,1.0,0.0,0.917,1.075,1.5,1.833,1.8,1.5,1.231,0.833,0.857,0.611,0.714,2.0,0.905
152,2005.0,1277.0,89.0,1330.0,81.0,0.0,0.0,0.897,1.196,2.333,1.429,0.786,0.722,2.0,0.8,1.182,1.154,1.0,1.0,1.318
153,2005.0,1280.0,93.0,1390.0,70.0,1.0,0.0,1.333,0.905,2.25,0.944,1.111,1.04,0.833,1.611,1.444,1.8,0.5,2.0,1.0
154,2005.0,1301.0,75.0,1150.0,63.0,1.0,0.0,1.13,1.017,0.5,0.905,2.111,1.571,0.917,0.917,1.273,0.8,1.75,4.0,0.556
155,2005.0,1314.0,96.0,1324.0,68.0,0.0,0.0,0.676,1.0,0.5,0.789,1.2,0.947,0.733,0.458,0.444,0.667,1.0,0.333,1.231
156,2005.0,1329.0,63.0,1368.0,50.0,0.0,0.0,1.111,1.216,0.75,1.429,0.304,0.345,0.625,0.636,0.769,1.0,1.091,2.0,1.692
157,2005.0,1356.0,65.0,1388.0,56.0,0.0,0.0,0.68,0.836,1.0,1.667,1.636,1.571,1.333,1.238,0.25,2.0,0.25,1.0,0.773
158,2005.0,1436.0,60.0,1393.0,57.0,1.0,0.0,0.957,1.073,2.333,1.75,1.125,1.222,0.929,0.739,1.75,0.667,1.111,0.333,1.0
159,2005.0,1437.0,55.0,1307.0,47.0,1.0,0.0,0.882,0.93,2.0,1.16,1.889,2.0,1.5,1.261,1.5,1.176,1.333,1.0,0.75
160,2005.0,1458.0,57.0,1320.0,52.0,0.0,0.0,1.1,1.104,0.364,0.654,0.667,0.8,1.6,1.08,0.571,1.0,1.333,1.0,1.154
161,2005.0,1112.0,85.0,1412.0,63.0,0.0,0.0,0.7,1.123,0.857,1.364,0.833,0.783,1.364,0.607,0.938,0.875,1.286,0.286,1.571
