Season,WTeamID,WTeamSeed,WScore,LTeamID,LTeamSeed,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,WEnd_MAS,WEnd_MOR,WEnd_POM,WEnd_SAG,LEnd_MAS,LEnd_MOR,LEnd_POM,LEnd_SAG
2003,1448,W02,76,1190,W15,73,N,0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20,8,20,12,9,132,149,147,133
2003,1277,X07,68,1196,X02,46,N,0,25,45,6,16,12,18,9,21,15,10,5,0,18,16,43,5,21,9,12,8,14,9,14,2,1,20,37,16,25,36,9,7,6,7
2003,1112,Z01,96,1211,Z09,95,N,2,34,74,7,24,21,29,18,29,18,9,7,4,20,34,77,11,30,16,21,16,27,20,11,5,5,25,3,4,3,2,49,54,41,39
2003,1266,Y03,72,1221,Y14,68,N,0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20,13,18,13,14,56,105,80,68
2003,1323,Z05,68,1228,Z04,60,N,0,25,61,13,24,5,5,5,32,12,11,5,4,13,22,63,5,17,11,16,10,31,12,9,6,3,10,23,36,22,17,11,5,5,11
2003,1338,Y02,74,1231,Y07,52,N,0,25,47,4,9,20,28,10,21,15,11,9,1,14,19,44,6,17,8,10,5,15,13,16,3,2,18,2,3,2,3,46,34,46,41
2003,1246,Y01,95,1237,Y16,64,N,0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15,1,1,1,1,133,145,133,162
2003,1393,W03,81,1242,Z02,78,N,0,30,63,11,18,10,17,11,25,13,17,10,7,22,31,71,4,20,12,30,26,26,18,18,9,4,16,7,21,15,12,5,2,4,4
2003,1266,Y03,83,1246,Y01,69,N,0,31,55,10,19,11,15,10,26,21,15,6,6,22,25,64,4,16,15,24,20,16,14,11,10,2,19,13,18,13,14,1,1,1,1
2003,1139,W12,79,1257,W04,71,N,0,27,52,14,22,11,19,10,18,21,12,6,2,11,28,54,11,25,4,4,8,19,13,14,8,2,21,26,74,51,35,14,14,14,6
2003,1345,X09,80,1261,X08,56,N,0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13,47,37,38,34,25,11,21,27
2003,1393,W03,76,1264,W14,65,N,0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14,7,21,15,12,61,88,63,69
2003,1242,Z02,94,1266,Y03,61,N,0,38,71,8,19,10,17,19,33,22,12,8,5,15,23,74,3,16,12,18,21,18,7,11,7,3,17,5,2,4,4,13,18,13,14
2003,1277,X07,60,1268,X06,58,N,0,22,56,6,17,10,12,11,26,10,18,8,3,20,20,54,2,16,16,18,9,24,8,15,12,4,15,37,16,25,36,28,9,19,21
2003,1113,Z10,84,1272,Z07,71,N,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18,40,22,32,32,18,23,20,24
2003,1400,X01,85,1277,X07,76,N,0,25,51,6,14,29,38,8,20,16,4,6,4,22,25,54,8,16,18,26,12,26,11,12,1,2,28,6,12,7,5,37,16,25,36
2003,1139,W12,47,1280,W05,46,N,0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13,26,74,51,35,16,8,11,16
2003,1266,Y03,101,1281,Y06,92,N,1,35,62,12,18,19,20,8,25,18,12,6,0,20,31,72,15,36,15,19,18,20,19,12,4,4,17,13,18,13,14,21,24,24,22
2003,1143,W08,76,1301,W09,74,N,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19,30,43,40,40,48,31,48,46
2003,1112,Z01,88,1323,Z05,71,N,0,36,76,7,14,9,11,14,30,19,10,12,5,17,25,59,10,23,11,18,9,27,15,19,6,4,16,3,4,3,2,23,36,22,17
2003,1393,W03,63,1328,W01,47,N,0,25,48,2,12,11,19,12,28,16,24,13,2,13,18,58,5,28,6,11,14,14,10,19,13,4,16,7,21,15,12,4,6,9,8
2003,1393,W03,68,1329,W06,56,N,0,26,57,5,12,11,18,5,33,16,17,11,9,19,22,63,3,19,9,19,11,27,16,22,8,4,19,7,21,15,12,29,29,29,25
2003,1428,Y09,60,1332,Y08,58,N,0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22,35,66,37,38,34,27,42,30
2003,1329,W06,77,1335,W11,63,N,0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20,29,29,29,25,39,83,43,49
2003,1266,Y03,77,1338,Y02,74,N,0,28,54,6,12,15,22,10,18,16,10,7,3,18,29,55,4,14,12,15,10,20,18,12,6,4,19,13,18,13,14,2,3,2,3
2003,1400,X01,77,1345,X09,67,N,0,25,62,5,11,22,26,13,27,8,13,4,0,21,23,62,5,16,16,24,13,22,10,13,7,2,24,6,12,7,5,47,37,38,34
2003,1328,W01,71,1354,W16,54,N,0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23,4,6,9,8,210,238,230,231
2003,1281,Y06,72,1356,Y11,71,N,0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19,21,24,24,22,33,72,57,50
2003,1196,X02,85,1358,X15,55,N,0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16,9,7,6,7,104,169,134,138
2003,1390,X04,77,1360,X13,69,N,0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18,27,25,30,29,85,77,82,87
2003,1120,W10,65,1386,W07,63,N,1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19,45,44,45,43,22,38,18,20
2003,1163,X05,85,1390,X04,74,N,0,31,68,6,10,17,21,17,26,12,9,4,1,13,27,62,8,23,12,17,11,22,12,11,2,6,18,24,17,23,23,27,25,30,29
2003,1393,W03,95,1400,X01,84,N,0,32,56,7,13,24,31,9,28,14,13,9,2,21,27,63,10,21,20,32,17,17,20,14,6,2,26,7,21,15,12,6,12,7,5
2003,1462,X03,71,1407,X14,59,N,0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19,15,19,17,13,60,108,69,78
2003,1458,Y05,61,1409,Y13,60,N,0,22,57,6,22,11,17,10,22,12,5,5,3,11,26,59,3,11,5,5,11,30,12,11,1,3,16,20,15,16,19,66,35,53,58
2003,1421,X16b,92,1411,X16a,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22,265,277,273,251,249,293,268,257
2003,1400,X01,82,1421,X16b,61,N,0,31,62,6,16,14,20,19,28,15,14,6,2,16,23,62,5,21,10,12,13,16,5,11,9,3,16,6,12,7,5,265,277,273,251
2003,1268,X06,75,1423,X11,73,N,0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19,28,9,19,21,52,48,47,51
2003,1246,Y01,74,1428,Y09,54,N,0,26,55,4,13,18,18,13,22,11,13,4,3,16,19,48,4,14,12,16,8,14,8,16,7,2,19,1,1,1,1,35,66,37,38
2003,1242,Z02,64,1429,Z15,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15,5,2,4,4,96,128,109,101
2003,1112,Z01,80,1436,Z16,51,N,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15,3,4,3,2,148,187,144,158
2003,1228,Z04,65,1443,Z13,60,N,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16,11,5,5,11,51,59,52,60
2003,1338,Y02,87,1447,Y15,61,N,0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20,2,3,2,3,166,190,188,174
2003,1120,W10,68,1448,W02,62,N,0,24,56,4,19,16,20,12,21,11,14,9,6,18,18,49,8,23,18,21,12,23,5,18,7,7,23,45,44,45,43,8,20,12,9
2003,1458,Y05,81,1451,Y12,74,N,0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20,20,15,16,19,53,100,60,59
2003,1323,Z05,70,1454,Z12,69,N,0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25,23,36,22,17,38,52,56,44
2003,1246,Y01,63,1458,Y05,57,N,0,24,49,1,5,14,24,12,21,9,14,10,4,17,19,45,8,21,11,16,7,19,9,15,7,1,20,1,1,1,1,20,15,16,19
2003,1268,X06,77,1462,X03,64,N,0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16,28,9,19,21,15,19,17,13
2004,1314,W06,63,1102,W11,52,N,0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15,15,11,11,13,43,61,47,43
2004,1163,X02,87,1104,X08,71,N,0,29,60,10,17,19,29,15,25,17,7,3,7,18,25,60,6,19,15,18,12,21,14,9,2,5,23,9,3,8,7,40,27,34,33
2004,1181,W01,96,1106,W16,61,N,0,32,66,9,26,23,31,17,29,19,14,14,4,19,22,57,7,20,10,17,9,22,7,21,7,1,20,1,1,1,1,267,270,278,263
2004,1371,W08,80,1112,W09,76,N,0,27,58,8,22,18,24,12,21,12,10,6,0,19,28,53,5,11,15,19,7,22,12,14,4,3,15,38,32,28,34,45,26,33,32
2004,1210,Z03,57,1130,Z06,54,N,0,23,51,6,18,5,6,8,16,15,17,12,1,17,20,44,5,13,9,15,11,19,14,22,11,2,14,10,10,10,8,27,28,40,38
2004,1393,X05,80,1140,X12,75,N,0,24,46,11,16,21,28,5,18,12,7,2,4,15,26,55,10,26,13,19,15,21,19,9,2,1,23,19,24,27,35,28,40,31,30
2004,1403,Y08,76,1150,Y09,73,N,0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20,34,31,29,26,31,45,39,31
2004,1228,W05,92,1153,W04,68,N,0,35,55,11,19,11,14,2,19,26,4,9,1,14,27,58,7,16,7,11,14,20,14,13,1,5,14,18,16,19,18,16,13,15,14
2004,1177,X07,76,1173,X10,69,N,2,24,59,5,13,23,40,11,38,13,11,4,3,19,27,79,3,20,12,23,18,32,11,10,5,3,29,42,44,52,47,49,56,61,56
2004,1163,X02,72,1177,X07,55,N,0,26,60,5,16,15,23,13,31,15,5,5,5,15,20,59,5,15,10,13,9,26,12,8,1,0,20,9,3,8,7,42,44,52,47
2004,1163,X02,79,1181,W01,78,N,0,26,52,6,11,21,32,13,31,9,18,5,6,20,29,71,6,22,14,23,17,20,11,9,8,3,24,9,3,8,7,1,1,1,1
2004,1329,Y02,75,1186,Y15,56,N,0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15,6,5,9,5,120,124,129,127
2004,1153,W04,80,1190,W13,77,N,0,29,62,13,32,9,11,12,33,22,17,3,11,19,29,74,6,23,13,20,17,21,14,6,11,3,14,16,13,15,14,57,93,67,73
2004,1264,Y12,75,1196,Y05,60,N,0,26,60,6,15,17,21,13,23,10,10,8,4,21,21,45,3,13,15,22,4,22,4,14,4,4,18,53,70,56,57,21,18,18,19
2004,1246,Z01,96,1197,Z16a,76,N,0,35,62,11,28,15,23,13,29,23,17,8,5,15,30,66,11,30,5,12,12,17,13,17,13,1,19,5,2,4,4,275,255,276,287
2004,1163,X02,82,1210,Z03,73,N,0,26,61,5,17,25,39,18,32,10,16,5,2,18,27,71,7,22,12,21,18,25,9,14,10,1,26,9,3,8,7,10,10,10,8
2004,1305,Z10,91,1211,Z02,72,N,0,30,64,8,17,23,29,14,29,18,8,4,4,18,28,75,3,22,13,18,19,20,9,10,4,1,23,25,36,22,25,2,22,2,3
2004,1242,Z04,78,1227,Z13,53,N,0,24,39,5,12,25,40,6,35,18,25,6,8,19,20,64,3,16,10,14,11,15,10,15,9,0,25,20,14,25,23,60,63,58,80
2004,1181,W01,72,1228,W05,62,N,0,28,51,6,18,10,15,5,24,19,13,10,5,14,26,64,4,13,6,11,14,22,17,12,5,2,15,1,1,1,1,18,16,19,18
2004,1210,Z03,79,1242,Z04,71,N,1,25,56,3,16,26,34,11,30,14,12,13,3,17,26,65,6,19,13,19,12,26,15,15,8,3,26,10,10,10,8,20,14,25,23
2004,1412,Z09,76,1246,Z01,75,N,0,30,67,8,18,8,13,18,15,19,12,9,1,19,27,61,7,20,14,18,20,21,13,16,4,4,16,46,41,36,40,5,2,4,4
2004,1197,Z16a,72,1250,Z16b,57,N,0,25,63,6,20,16,23,19,25,11,12,8,2,15,18,61,7,30,14,19,21,21,12,17,7,3,20,275,255,276,287,201,212,218,222
2004,1386,Y01,82,1251,Y16,63,N,0,27,60,8,23,20,28,10,26,16,14,15,3,17,22,51,6,20,13,18,7,29,15,26,7,1,22,3,12,5,2,186,194,181,196
2004,1462,W07,80,1257,W10,70,N,0,23,46,9,18,25,29,12,27,15,15,6,1,12,25,63,10,32,10,13,13,13,18,10,7,1,23,32,21,26,37,33,19,23,20
2004,1448,Y04,84,1264,Y12,80,N,0,29,57,8,20,18,24,8,29,15,10,5,2,18,29,63,7,20,15,20,8,24,15,8,5,3,23,12,15,13,11,53,70,56,57
2004,1393,X05,72,1268,X04,70,N,0,22,55,4,12,24,38,12,26,11,12,7,5,25,20,52,3,12,27,38,12,28,13,17,5,6,26,19,24,27,35,14,17,16,17
2004,1329,Y02,70,1272,Y07,53,N,0,28,47,5,12,9,17,14,20,18,17,8,1,16,20,50,6,17,7,14,11,11,9,12,6,3,15,6,5,9,5,29,34,32,29
2004,1305,Z10,72,1277,Z07,66,N,0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25,25,36,22,25,41,25,37,44
2004,1462,W07,89,1280,W02,74,N,0,30,55,13,19,16,23,6,32,14,13,3,9,14,26,72,9,26,13,21,18,22,14,8,11,3,21,32,21,26,37,7,8,7,9
2004,1280,W02,85,1284,W15,52,N,0,30,56,8,22,17,23,13,34,19,17,12,3,13,18,51,9,27,7,15,3,17,12,17,7,0,18,7,8,7,9,170,215,188,181
2004,1228,W05,72,1293,W12,53,N,0,27,60,9,24,9,13,16,28,19,8,5,5,17,17,49,8,20,11,17,9,18,8,10,4,2,13,18,16,19,18,61,73,63,50
2004,1435,X06,75,1301,X03,73,N,0,23,49,10,25,19,21,10,17,15,8,4,2,13,27,57,13,31,6,8,13,18,13,6,1,1,20,23,29,24,21,11,9,6,12
2004,1210,Z03,72,1305,Z10,67,N,0,27,63,6,18,12,22,13,36,10,16,9,5,22,22,69,5,20,18,24,16,29,5,11,4,3,22,10,10,10,8,25,36,22,25
2004,1400,W03,78,1314,W06,75,N,0,27,55,5,13,19,23,9,26,10,11,6,1,19,25,65,9,28,16,19,16,20,14,11,6,1,21,17,20,17,15,15,11,11,13
2004,1210,Z03,65,1320,Z14,60,N,0,25,55,6,18,9,12,8,29,10,12,4,3,14,21,54,10,27,8,10,3,25,15,10,2,1,16,10,10,10,8,69,81,80,84
2004,1210,Z03,67,1329,Y02,65,N,0,24,49,7,17,12,16,7,22,16,12,7,4,19,22,50,4,15,17,25,12,21,10,13,3,0,15,10,10,10,8,6,5,9,5
2004,1242,Z04,78,1334,Z12,63,N,0,29,60,5,15,15,21,15,25,17,13,11,3,15,23,54,6,20,11,15,9,18,19,14,6,1,18,20,14,25,23,56,90,71,72
2004,1329,Y02,63,1338,Y03,51,N,0,22,45,4,8,15,16,6,24,13,10,6,5,16,21,58,3,17,6,10,16,17,8,12,5,1,18,6,5,9,5,8,6,3,10
2004,1400,W03,66,1343,W14,49,N,0,23,50,11,15,9,14,17,26,10,13,3,1,16,18,51,5,26,8,12,9,14,11,7,5,0,18,17,20,17,15,99,133,102,116
2004,1334,Z12,66,1344,Z05,58,N,0,24,50,6,14,12,18,7,22,17,12,7,1,11,23,61,6,26,6,6,15,21,12,15,4,2,18,56,90,71,72,24,23,21,22
2004,1458,Y06,76,1350,Y11,64,N,0,25,51,8,18,18,24,11,18,14,9,7,3,11,25,54,7,16,7,13,13,16,17,14,8,3,19,13,4,14,16,48,46,38,45
2004,1104,X08,65,1356,X09,64,N,0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14,40,27,34,33,26,58,45,36
2004,1181,W01,90,1371,W08,62,N,0,26,48,4,11,34,38,11,29,16,10,3,3,18,24,57,3,17,11,16,8,14,11,10,4,0,27,1,1,1,1,38,32,28,34
2004,1272,Y07,59,1376,Y10,43,N,0,23,59,9,27,4,7,14,22,16,9,3,4,15,15,42,2,13,11,16,4,21,9,12,5,4,14,29,34,32,29,30,37,35,24
2004,1329,Y02,64,1386,Y01,62,N,0,25,53,4,17,10,15,12,30,13,13,2,6,16,22,57,8,26,10,13,6,18,15,5,8,3,14,6,5,9,5,3,12,5,2
2004,1104,X08,70,1390,X01,67,N,0,16,43,4,19,34,44,5,24,8,8,6,8,16,26,73,7,24,8,11,22,27,12,12,2,0,31,40,27,34,33,4,7,12,6
2004,1104,X08,80,1393,X05,71,N,0,26,52,9,22,19,23,10,17,22,9,11,6,17,26,55,5,14,14,20,16,19,12,18,5,4,20,40,27,34,33,19,24,27,35
2004,1462,W07,79,1400,W03,71,N,0,23,58,8,25,25,35,16,23,13,7,6,3,20,26,62,7,16,12,17,14,21,12,8,1,6,25,32,21,26,37,17,20,17,15
2004,1386,Y01,70,1403,Y08,65,N,0,27,57,12,31,4,5,11,20,13,13,4,0,16,25,53,3,12,12,14,9,20,16,9,7,2,11,3,12,5,2,34,31,29,26
2004,1242,Z04,100,1412,Z09,74,N,0,30,56,4,10,36,44,10,35,21,17,9,3,19,23,71,8,33,20,24,14,19,12,12,13,4,27,20,14,25,23,46,41,36,40
2004,1338,Y03,53,1416,Y14,44,N,0,13,44,5,16,22,31,10,27,7,13,8,1,15,16,52,5,20,7,10,9,24,10,14,6,0,22,8,6,3,10,71,123,98,86
2004,1301,X03,61,1418,X14,52,N,0,18,49,5,17,20,24,13,24,10,15,5,0,20,16,49,5,22,15,23,11,21,9,15,9,2,21,11,9,6,12,66,68,60,71
2004,1390,X01,71,1427,X16,45,N,0,27,54,6,14,11,15,11,29,11,20,11,9,20,15,63,2,15,13,21,22,17,2,19,8,3,15,4,7,12,6,196,213,216,233
2004,1130,Z06,58,1428,Z11,51,N,0,23,44,3,4,9,11,4,21,20,8,4,3,13,19,50,3,18,10,10,9,17,12,8,2,0,12,27,28,40,38,35,42,44,39
2004,1268,X04,86,1431,X13,83,N,0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25,14,17,16,17,39,79,43,42
2004,1448,Y04,79,1433,Y13,78,N,0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22,12,15,13,11,63,78,82,79
2004,1211,Z02,76,1434,Z15,49,N,0,29,54,3,13,15,25,10,36,19,15,6,5,14,18,63,6,23,7,11,10,21,8,13,6,0,20,2,22,2,3,127,134,132,151
2004,1163,X02,73,1435,X06,53,N,0,27,51,6,17,13,15,11,33,14,18,6,4,10,20,57,8,24,5,8,6,15,11,11,8,0,14,9,3,8,7,23,29,24,21
2004,1163,X02,70,1436,X15,53,N,0,26,52,6,14,12,23,11,31,14,13,6,3,8,19,60,11,32,4,6,11,18,10,12,7,1,19,9,3,8,7,142,161,162,150
2004,1435,X06,71,1444,X11,58,N,0,26,46,11,19,8,18,8,25,16,17,9,5,15,22,63,2,19,12,16,18,18,10,12,13,1,19,23,29,24,21,22,30,30,28
2004,1386,Y01,84,1448,Y04,80,N,0,29,58,12,24,14,23,10,20,15,11,8,4,21,27,51,8,16,18,25,7,21,15,15,6,0,22,3,12,5,2,12,15,13,11
2004,1412,Z09,102,1449,Z08,100,N,0,30,65,9,26,33,44,11,26,23,12,8,2,26,35,64,6,20,24,34,10,31,19,16,6,5,30,46,41,36,40,47,39,51,53
2004,1338,Y03,59,1458,Y06,55,N,0,21,59,2,10,15,19,15,25,10,9,7,3,17,17,48,8,18,13,17,7,24,9,13,4,3,20,8,6,3,10,13,4,14,16
2004,1181,W01,66,1462,W07,63,N,0,21,54,8,20,16,20,10,29,15,11,6,7,23,22,63,3,15,16,23,16,24,8,10,5,0,21,1,1,1,1,32,21,26,37
2005,1454,X12,83,1104,X05,73,N,0,26,50,12,21,19,28,8,14,20,7,6,1,18,26,50,9,23,12,16,12,22,17,19,3,3,20,56,57,38,37,17,12,18,15
2005,1324,Z16b,79,1105,Z16a,69,N,0,29,57,7,15,14,20,14,29,14,17,2,2,14,23,59,10,28,13,18,10,19,16,14,6,3,17,186,177,179,190,290,292,280,290
2005,1228,X01,90,1112,X03,89,N,1,32,71,16,35,10,15,14,18,21,13,12,2,18,32,61,7,18,18,21,12,25,21,17,11,8,10,1,3,1,2,6,12,15,13
2005,1454,X12,83,1130,X04,75,N,0,26,55,11,24,20,22,10,16,17,16,11,5,26,23,50,4,11,25,35,15,21,16,22,6,2,22,56,57,38,37,10,25,21,17
2005,1458,Z06,71,1137,Z14,62,N,0,21,46,7,17,22,29,8,22,14,7,5,1,12,23,50,5,15,11,14,7,22,13,10,4,2,24,17,20,22,19,125,153,114,120
2005,1301,Z10,75,1150,Z07,63,N,0,26,59,4,19,19,22,11,22,14,16,14,8,10,23,58,8,21,9,14,12,24,11,20,8,2,18,44,15,28,32,36,52,48,43
2005,1448,W02,70,1151,W15,54,N,0,24,58,8,28,14,21,15,22,16,15,10,2,12,21,52,6,20,6,9,11,24,12,22,5,1,19,4,5,4,4,152,169,166,144
2005,1246,Y02,69,1153,Y07,60,N,0,25,49,7,12,12,18,7,29,16,15,7,5,17,20,61,7,26,13,19,16,21,10,10,4,4,19,9,13,11,7,23,22,21,20
2005,1301,Z10,65,1163,Z02,62,N,0,20,50,10,20,15,17,7,19,13,13,10,4,18,22,52,2,14,16,18,9,22,9,14,3,4,16,44,15,28,32,14,6,6,13
2005,1452,W07,63,1166,W10,61,N,0,22,46,8,20,11,13,8,21,19,16,12,4,15,21,50,8,20,11,13,10,17,12,17,8,3,16,36,39,42,45,42,46,37,44
2005,1181,Y01,57,1175,Y16,46,N,0,16,39,6,20,19,29,5,27,9,8,5,6,15,19,52,5,15,3,6,9,21,10,11,3,1,23,6,2,4,3,192,225,207,217
2005,1277,Y05,78,1181,Y01,68,N,0,27,65,5,14,19,23,16,22,12,16,13,0,22,22,51,7,23,17,24,9,24,8,22,11,2,22,16,10,5,11,6,2,4,3
2005,1246,Y02,72,1184,Y15,64,N,0,26,51,2,11,18,26,9,22,11,14,9,4,11,26,59,6,18,6,11,13,22,14,17,5,1,20,9,13,11,7,141,174,149,145
2005,1228,X01,67,1192,X16,55,N,0,23,54,6,21,15,21,8,22,16,8,8,2,13,23,57,4,16,5,11,15,27,11,17,6,3,19,1,3,1,2,205,200,195,202
2005,1437,Z05,76,1196,Z04,65,N,0,24,58,3,11,25,35,17,27,10,14,11,4,23,20,52,7,18,18,25,10,24,9,19,6,4,30,20,15,9,17,24,7,16,17
2005,1210,W05,80,1203,W12,68,N,0,28,56,7,16,17,22,10,32,11,17,10,3,22,29,65,6,16,4,16,12,22,19,14,9,4,20,28,17,25,21,67,36,52,48
2005,1257,W04,76,1210,W05,54,N,0,22,42,10,21,22,28,9,28,10,11,1,7,15,20,53,6,16,8,10,7,15,11,7,7,0,21,14,6,10,8,28,17,25,21
2005,1403,W06,71,1211,W03,69,N,0,29,59,4,11,9,16,8,24,18,7,7,1,14,29,62,2,13,9,18,17,27,14,13,2,1,17,25,37,40,24,10,31,15,21
