,Season,DayNum,WTeamID,WTeamSeed,WScore,LTeamID,LTeamSeed,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
39,2003,138,1328,W01,74,1143,W08,65,N,0,26,51,7,13,15,24,13,23,16,12,2,2,15,27,52,5,16,6,12,6,18,6,9,5,4,23
40,2003,138,1458,Y05,61,1409,Y13,60,N,0,22,57,6,22,11,17,10,22,12,5,5,3,11,26,59,3,11,5,5,11,30,12,11,1,3,16
41,2003,139,1120,W10,68,1448,W02,62,N,0,24,56,4,19,16,20,12,21,11,14,9,6,18,18,49,8,23,18,21,12,23,5,18,7,7,23
42,2003,139,1139,W12,79,1257,W04,71,N,0,27,52,14,22,11,19,10,18,21,12,6,2,11,28,54,11,25,4,4,8,19,13,14,8,2,21
43,2003,139,1246,Y01,74,1428,Y09,54,N,0,26,55,4,13,18,18,13,22,11,13,4,3,16,19,48,4,14,12,16,8,14,8,16,7,2,19
44,2003,139,1268,X06,77,1462,X03,64,N,0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16
45,2003,139,1277,X07,68,1196,X02,46,N,0,25,45,6,16,12,18,9,21,15,10,5,0,18,16,43,5,21,9,12,8,14,9,14,2,1,20
46,2003,139,1338,Y02,74,1231,Y07,52,N,0,25,47,4,9,20,28,10,21,15,11,9,1,14,19,44,6,17,8,10,5,15,13,16,3,2,18
47,2003,139,1393,W03,68,1329,W06,56,N,0,26,57,5,12,11,18,5,33,16,17,11,9,19,22,63,3,19,9,19,11,27,16,22,8,4,19
48,2003,139,1400,X01,77,1345,X09,67,N,0,25,62,5,11,22,26,13,27,8,13,4,0,21,23,62,5,16,16,24,13,22,10,13,7,2,24
49,2003,143,1112,Z01,88,1323,Z05,71,N,0,36,76,7,14,9,11,14,30,19,10,12,5,17,25,59,10,23,11,18,9,27,15,19,6,4,16
50,2003,143,1242,Z02,69,1181,Z03,65,N,0,29,67,1,12,10,17,18,29,14,17,4,5,16,25,65,10,26,5,8,11,22,11,14,6,7,18
51,2003,143,1246,Y01,63,1458,Y05,57,N,0,24,49,1,5,14,24,12,21,9,14,10,4,17,19,45,8,21,11,16,7,19,9,15,7,1,20
52,2003,143,1266,Y03,77,1338,Y02,74,N,0,28,54,6,12,15,22,10,18,16,10,7,3,18,29,55,4,14,12,15,10,20,18,12,6,4,19
53,2003,144,1277,X07,60,1268,X06,58,N,0,22,56,6,17,10,12,11,26,10,18,8,3,20,20,54,2,16,16,18,9,24,8,15,12,4,15
54,2003,144,1328,W01,65,1139,W12,54,N,0,27,55,4,10,7,12,19,20,15,13,6,1,18,19,43,4,13,12,17,7,14,10,13,7,2,18
55,2003,144,1393,W03,79,1120,W10,78,N,0,29,66,5,14,16,21,15,21,14,10,9,7,17,27,63,10,22,14,17,14,26,15,17,5,5,19
56,2003,144,1400,X01,82,1163,X05,78,N,0,24,69,5,18,29,36,21,31,13,10,5,5,21,30,71,4,13,14,25,14,27,13,11,7,8,21
57,2003,145,1242,Z02,78,1112,Z01,75,N,0,29,67,8,26,12,18,15,22,16,15,13,5,20,23,55,10,22,19,23,11,26,16,19,8,2,17
58,2003,145,1266,Y03,83,1246,Y01,69,N,0,31,55,10,19,11,15,10,26,21,15,6,6,22,25,64,4,16,15,24,20,16,14,11,10,2,19
59,2003,146,1393,W03,63,1328,W01,47,N,0,25,48,2,12,11,19,12,28,16,24,13,2,13,18,58,5,28,6,11,14,14,10,19,13,4,16
60,2003,146,1400,X01,85,1277,X07,76,N,0,25,51,6,14,29,38,8,20,16,4,6,4,22,25,54,8,16,18,26,12,26,11,12,1,2,28
61,2003,152,1242,Z02,94,1266,Y03,61,N,0,38,71,8,19,10,17,19,33,22,12,8,5,15,23,74,3,16,12,18,21,18,7,11,7,3,17
62,2003,152,1393,W03,95,1400,X01,84,N,0,32,56,7,13,24,31,9,28,14,13,9,2,21,27,63,10,21,20,32,17,17,20,14,6,2,26
63,2003,154,1393,W03,81,1242,Z02,78,N,0,30,63,11,18,10,17,11,25,13,17,10,7,22,31,71,4,20,12,30,26,26,18,18,9,4,16
64,2004,134,1197,Z16a,72,1250,Z16b,57,N,0,25,63,6,20,16,23,19,25,11,12,8,2,15,18,61,7,30,14,19,21,21,12,17,7,3,20
65,2004,136,1104,X08,65,1356,X09,64,N,0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14
66,2004,136,1163,X02,70,1436,X15,53,N,0,26,52,6,14,12,23,11,31,14,13,6,3,8,19,60,11,32,4,6,11,18,10,12,7,1,19
67,2004,136,1177,X07,76,1173,X10,69,N,2,24,59,5,13,23,40,11,38,13,11,4,3,19,27,79,3,20,12,23,18,32,11,10,5,3,29
68,2004,136,1181,W01,96,1106,W16,61,N,0,32,66,9,26,23,31,17,29,19,14,14,4,19,22,57,7,20,10,17,9,22,7,21,7,1,20
69,2004,136,1211,Z02,76,1434,Z15,49,N,0,29,54,3,13,15,25,10,36,19,15,6,5,14,18,63,6,23,7,11,10,21,8,13,6,0,20
70,2004,136,1264,Y12,75,1196,Y05,60,N,0,26,60,6,15,17,21,13,23,10,10,8,4,21,21,45,3,13,15,22,4,22,4,14,4,4,18
71,2004,136,1268,X04,86,1431,X13,83,N,0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25
72,2004,136,1305,Z10,72,1277,Z07,66,N,0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25
73,2004,136,1314,W06,63,1102,W11,52,N,0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15
74,2004,136,1371,W08,80,1112,W09,76,N,0,27,58,8,22,18,24,12,21,12,10,6,0,19,28,53,5,11,15,19,7,22,12,14,4,3,15
75,2004,136,1386,Y01,82,1251,Y16,63,N,0,27,60,8,23,20,28,10,26,16,14,15,3,17,22,51,6,20,13,18,7,29,15,26,7,1,22
76,2004,136,1390,X01,71,1427,X16,45,N,0,27,54,6,14,11,15,11,29,11,20,11,9,20,15,63,2,15,13,21,22,17,2,19,8,3,15
77,2004,136,1393,X05,80,1140,X12,75,N,0,24,46,11,16,21,28,5,18,12,7,2,4,15,26,55,10,26,13,19,15,21,19,9,2,1,23
78,2004,136,1400,W03,66,1343,W14,49,N,0,23,50,11,15,9,14,17,26,10,13,3,1,16,18,51,5,26,8,12,9,14,11,7,5,0,18
79,2004,136,1403,Y08,76,1150,Y09,73,N,0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20
80,2004,136,1448,Y04,79,1433,Y13,78,N,0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22
81,2004,137,1130,Z06,58,1428,Z11,51,N,0,23,44,3,4,9,11,4,21,20,8,4,3,13,19,50,3,18,10,10,9,17,12,8,2,0,12
82,2004,137,1153,W04,80,1190,W13,77,N,0,29,62,13,32,9,11,12,33,22,17,3,11,19,29,74,6,23,13,20,17,21,14,6,11,3,14
83,2004,137,1210,Z03,65,1320,Z14,60,N,0,25,55,6,18,9,12,8,29,10,12,4,3,14,21,54,10,27,8,10,3,25,15,10,2,1,16
84,2004,137,1228,W05,72,1293,W12,53,N,0,27,60,9,24,9,13,16,28,19,8,5,5,17,17,49,8,20,11,17,9,18,8,10,4,2,13
85,2004,137,1242,Z04,78,1227,Z13,53,N,0,24,39,5,12,25,40,6,35,18,25,6,8,19,20,64,3,16,10,14,11,15,10,15,9,0,25
86,2004,137,1246,Z01,96,1197,Z16a,76,N,0,35,62,11,28,15,23,13,29,23,17,8,5,15,30,66,11,30,5,12,12,17,13,17,13,1,19
87,2004,137,1272,Y07,59,1376,Y10,43,N,0,23,59,9,27,4,7,14,22,16,9,3,4,15,15,42,2,13,11,16,4,21,9,12,5,4,14
88,2004,137,1280,W02,85,1284,W15,52,N,0,30,56,8,22,17,23,13,34,19,17,12,3,13,18,51,9,27,7,15,3,17,12,17,7,0,18
89,2004,137,1301,X03,61,1418,X14,52,N,0,18,49,5,17,20,24,13,24,10,15,5,0,20,16,49,5,22,15,23,11,21,9,15,9,2,21
90,2004,137,1329,Y02,75,1186,Y15,56,N,0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15
91,2004,137,1334,Z12,66,1344,Z05,58,N,0,24,50,6,14,12,18,7,22,17,12,7,1,11,23,61,6,26,6,6,15,21,12,15,4,2,18
92,2004,137,1338,Y03,53,1416,Y14,44,N,0,13,44,5,16,22,31,10,27,7,13,8,1,15,16,52,5,20,7,10,9,24,10,14,6,0,22
93,2004,137,1412,Z09,102,1449,Z08,100,N,0,30,65,9,26,33,44,11,26,23,12,8,2,26,35,64,6,20,24,34,10,31,19,16,6,5,30
94,2004,137,1435,X06,71,1444,X11,58,N,0,26,46,11,19,8,18,8,25,16,17,9,5,15,22,63,2,19,12,16,18,18,10,12,13,1,19
95,2004,137,1458,Y06,76,1350,Y11,64,N,0,25,51,8,18,18,24,11,18,14,9,7,3,11,25,54,7,16,7,13,13,16,17,14,8,3,19
96,2004,137,1462,W07,80,1257,W10,70,N,0,23,46,9,18,25,29,12,27,15,15,6,1,12,25,63,10,32,10,13,13,13,18,10,7,1,23
97,2004,138,1104,X08,70,1390,X01,67,N,0,16,43,4,19,34,44,5,24,8,8,6,8,16,26,73,7,24,8,11,22,27,12,12,2,0,31
98,2004,138,1163,X02,72,1177,X07,55,N,0,26,60,5,16,15,23,13,31,15,5,5,5,15,20,59,5,15,10,13,9,26,12,8,1,0,20
99,2004,138,1181,W01,90,1371,W08,62,N,0,26,48,4,11,34,38,11,29,16,10,3,3,18,24,57,3,17,11,16,8,14,11,10,4,0,27
100,2004,138,1305,Z10,91,1211,Z02,72,N,0,30,64,8,17,23,29,14,29,18,8,4,4,18,28,75,3,22,13,18,19,20,9,10,4,1,23
101,2004,138,1386,Y01,70,1403,Y08,65,N,0,27,57,12,31,4,5,11,20,13,13,4,0,16,25,53,3,12,12,14,9,20,16,9,7,2,11
102,2004,138,1393,X05,72,1268,X04,70,N,0,22,55,4,12,24,38,12,26,11,12,7,5,25,20,52,3,12,27,38,12,28,13,17,5,6,26
103,2004,138,1400,W03,78,1314,W06,75,N,0,27,55,5,13,19,23,9,26,10,11,6,1,19,25,65,9,28,16,19,16,20,14,11,6,1,21
104,2004,138,1448,Y04,84,1264,Y12,80,N,0,29,57,8,20,18,24,8,29,15,10,5,2,18,29,63,7,20,15,20,8,24,15,8,5,3,23
105,2004,139,1210,Z03,57,1130,Z06,54,N,0,23,51,6,18,5,6,8,16,15,17,12,1,17,20,44,5,13,9,15,11,19,14,22,11,2,14
106,2004,139,1228,W05,92,1153,W04,68,N,0,35,55,11,19,11,14,2,19,26,4,9,1,14,27,58,7,16,7,11,14,20,14,13,1,5,14
107,2004,139,1242,Z04,78,1334,Z12,63,N,0,29,60,5,15,15,21,15,25,17,13,11,3,15,23,54,6,20,11,15,9,18,19,14,6,1,18
108,2004,139,1329,Y02,70,1272,Y07,53,N,0,28,47,5,12,9,17,14,20,18,17,8,1,16,20,50,6,17,7,14,11,11,9,12,6,3,15
109,2004,139,1338,Y03,59,1458,Y06,55,N,0,21,59,2,10,15,19,15,25,10,9,7,3,17,17,48,8,18,13,17,7,24,9,13,4,3,20
110,2004,139,1412,Z09,76,1246,Z01,75,N,0,30,67,8,18,8,13,18,15,19,12,9,1,19,27,61,7,20,14,18,20,21,13,16,4,4,16
111,2004,139,1435,X06,75,1301,X03,73,N,0,23,49,10,25,19,21,10,17,15,8,4,2,13,27,57,13,31,6,8,13,18,13,6,1,1,20
112,2004,139,1462,W07,89,1280,W02,74,N,0,30,55,13,19,16,23,6,32,14,13,3,9,14,26,72,9,26,13,21,18,22,14,8,11,3,21
113,2004,143,1104,X08,80,1393,X05,71,N,0,26,52,9,22,19,23,10,17,22,9,11,6,17,26,55,5,14,14,20,16,19,12,18,5,4,20
114,2004,143,1163,X02,73,1435,X06,53,N,0,27,51,6,17,13,15,11,33,14,18,6,4,10,20,57,8,24,5,8,6,15,11,11,8,0,14
115,2004,143,1329,Y02,63,1338,Y03,51,N,0,22,45,4,8,15,16,6,24,13,10,6,5,16,21,58,3,17,6,10,16,17,8,12,5,1,18
116,2004,143,1386,Y01,84,1448,Y04,80,N,0,29,58,12,24,14,23,10,20,15,11,8,4,21,27,51,8,16,18,25,7,21,15,15,6,0,22
117,2004,144,1181,W01,72,1228,W05,62,N,0,28,51,6,18,10,15,5,24,19,13,10,5,14,26,64,4,13,6,11,14,22,17,12,5,2,15
118,2004,144,1210,Z03,72,1305,Z10,67,N,0,27,63,6,18,12,22,13,36,10,16,9,5,22,22,69,5,20,18,24,16,29,5,11,4,3,22
119,2004,144,1242,Z04,100,1412,Z09,74,N,0,30,56,4,10,36,44,10,35,21,17,9,3,19,23,71,8,33,20,24,14,19,12,12,13,4,27
120,2004,144,1462,W07,79,1400,W03,71,N,0,23,58,8,25,25,35,16,23,13,7,6,3,20,26,62,7,16,12,17,14,21,12,8,1,6,25
121,2004,145,1163,X02,87,1104,X08,71,N,0,29,60,10,17,19,29,15,25,17,7,3,7,18,25,60,6,19,15,18,12,21,14,9,2,5,23
122,2004,145,1329,Y02,64,1386,Y01,62,N,0,25,53,4,17,10,15,12,30,13,13,2,6,16,22,57,8,26,10,13,6,18,15,5,8,3,14
123,2004,146,1181,W01,66,1462,W07,63,N,0,21,54,8,20,16,20,10,29,15,11,6,7,23,22,63,3,15,16,23,16,24,8,10,5,0,21
124,2004,146,1210,Z03,79,1242,Z04,71,N,1,25,56,3,16,26,34,11,30,14,12,13,3,17,26,65,6,19,13,19,12,26,15,15,8,3,26
125,2004,152,1163,X02,79,1181,W01,78,N,0,26,52,6,11,21,32,13,31,9,18,5,6,20,29,71,6,22,14,23,17,20,11,9,8,3,24
126,2004,152,1210,Z03,67,1329,Y02,65,N,0,24,49,7,17,12,16,7,22,16,12,7,4,19,22,50,4,15,17,25,12,21,10,13,3,0,15
127,2004,154,1163,X02,82,1210,Z03,73,N,0,26,61,5,17,25,39,18,32,10,16,5,2,18,27,71,7,22,12,21,18,25,9,14,10,1,26
128,2005,134,1324,Z16b,79,1105,Z16a,69,N,0,29,57,7,15,14,20,14,29,14,17,2,2,14,23,59,10,28,13,18,10,19,16,14,6,3,17
129,2005,136,1112,X03,66,1429,X14,53,N,0,23,49,6,14,14,18,9,24,9,11,3,6,12,20,55,7,19,6,10,12,20,15,12,6,3,16
130,2005,136,1130,X04,85,1335,X13,65,N,0,30,52,8,12,17,25,8,33,24,19,8,6,14,25,71,10,30,5,10,16,18,17,17,11,2,19
131,2005,136,1153,Y07,76,1234,Y10,64,N,0,27,57,9,18,13,22,9,27,18,8,5,8,19,20,59,5,17,19,25,16,27,5,11,6,1,20
132,2005,136,1211,W03,74,1457,W14,64,N,0,27,59,5,16,15,22,11,29,13,10,5,5,14,22,60,10,26,10,12,10,26,16,13,4,0,19
133,2005,136,1228,X01,67,1192,X16,55,N,0,23,54,6,21,15,21,8,22,16,8,8,2,13,23,57,4,16,5,11,15,27,11,17,6,3,19
134,2005,136,1246,Y02,72,1184,Y15,64,N,0,26,51,2,11,18,26,9,22,11,14,9,4,11,26,59,6,18,6,11,13,22,14,17,5,1,20
135,2005,136,1305,X09,61,1400,X08,57,N,0,23,62,3,14,12,18,16,33,11,8,4,7,14,24,68,5,10,4,6,13,27,2,5,5,6,16
136,2005,136,1328,Y03,84,1310,Y14,67,N,0,34,74,3,13,13,15,14,34,16,14,9,3,14,24,68,6,28,13,15,11,26,12,16,8,2,16
137,2005,136,1334,W08,79,1338,W09,71,N,0,26,55,10,20,17,23,10,25,15,12,2,1,18,25,59,8,23,13,18,10,20,10,10,7,3,20
138,2005,136,1403,W06,78,1417,W11,66,N,0,32,52,3,7,11,16,4,28,21,14,7,2,14,26,60,6,20,8,15,9,18,16,13,5,2,15
139,2005,136,1412,X11,82,1261,X06,68,N,0,27,59,7,16,21,36,11,24,15,15,8,2,23,23,64,6,31,16,22,16,26,10,21,6,5,26
140,2005,136,1428,Y06,60,1431,Y11,54,N,0,21,49,6,24,12,20,15,25,15,18,7,4,13,22,53,2,9,8,9,5,17,13,10,6,1,20
141,2005,136,1448,W02,70,1151,W15,54,N,0,24,58,8,28,14,21,15,22,16,15,10,2,12,21,52,6,20,6,9,11,24,12,22,5,1,19
142,2005,136,1449,W01,88,1285,W16,77,N,0,32,58,9,19,15,22,9,23,19,16,9,1,14,33,65,9,20,2,8,12,21,15,18,5,0,16
143,2005,136,1452,W07,63,1166,W10,61,N,0,22,46,8,20,11,13,8,21,19,16,12,4,15,21,50,8,20,11,13,10,17,12,17,8,3,16
144,2005,136,1454,X12,83,1104,X05,73,N,0,26,50,12,21,19,28,8,14,20,7,6,1,18,26,50,9,23,12,16,12,22,17,19,3,3,20
145,2005,137,1137,Z14,64,1242,Z03,63,N,0,22,55,8,31,12,16,9,21,17,9,10,1,21,20,46,1,11,22,27,8,26,14,13,5,3,15
146,2005,137,1163,Z02,77,1416,Z15,71,N,0,29,58,3,6,16,25,14,29,17,13,7,6,13,21,61,11,28,18,21,12,17,16,10,10,6,21
147,2005,137,1181,Y01,57,1175,Y16,46,N,0,16,39,6,20,19,29,5,27,9,8,5,6,15,19,52,5,15,3,6,9,21,10,11,3,1,23
148,2005,137,1196,Z04,67,1325,Z13,62,N,0,21,54,7,23,18,19,11,21,15,16,11,8,21,18,46,9,18,17,26,10,23,8,20,8,5,21
149,2005,137,1210,W05,80,1203,W12,68,N,0,28,56,7,16,17,22,10,32,11,17,10,3,22,29,65,6,16,4,16,12,22,19,14,9,4,20
150,2005,137,1235,Z09,64,1278,Z08,53,N,0,25,57,2,8,12,19,15,24,11,13,12,8,17,21,63,5,23,6,10,20,21,8,17,9,1,18
151,2005,137,1257,W04,68,1418,W13,62,N,0,22,57,6,22,18,27,16,20,12,11,5,2,19,24,53,4,12,10,18,13,24,14,18,7,0,21
152,2005,137,1277,Y05,89,1330,Y12,81,N,0,29,51,3,14,28,36,5,25,11,13,9,1,22,26,61,7,20,22,26,10,20,13,15,9,1,29
153,2005,137,1280,Y09,93,1390,Y08,70,N,0,32,57,9,17,20,26,10,29,13,9,3,6,19,24,63,4,18,18,25,12,18,9,5,6,3,19
154,2005,137,1301,Z10,75,1150,Z07,63,N,0,26,59,4,19,19,22,11,22,14,16,14,8,10,23,58,8,21,9,14,12,24,11,20,8,2,18
155,2005,137,1314,Z01,96,1324,Z16b,68,N,0,37,58,12,19,10,19,15,24,27,15,9,3,13,25,58,6,15,12,18,11,11,12,10,9,0,16
156,2005,137,1329,X02,63,1368,X15,50,N,0,18,37,4,7,23,29,8,22,13,17,11,1,13,20,45,3,10,7,10,5,14,10,17,12,2,22
157,2005,137,1356,X07,65,1388,X10,56,N,0,25,61,4,12,11,14,12,21,12,10,8,2,22,17,51,4,20,18,22,16,26,3,20,2,2,17
158,2005,137,1436,Y13,60,1393,Y04,57,N,1,22,59,7,21,9,11,13,17,14,16,10,0,12,23,55,3,12,8,9,14,23,8,24,9,3,12
159,2005,137,1437,Z05,55,1307,Z12,47,N,0,15,53,8,29,17,24,18,29,9,20,12,4,15,17,57,4,25,9,12,12,23,6,17,9,4,20
160,2005,137,1458,Z06,57,1320,Z11,52,N,0,20,48,11,26,6,10,5,25,14,8,3,2,13,22,53,4,17,4,8,8,27,8,8,4,2,15
161,2005,138,1112,X03,85,1412,X11,63,N,0,30,57,7,22,18,23,11,28,16,16,7,7,14,21,64,6,30,15,18,15,17,15,14,9,2,22
162,2005,138,1228,X01,71,1305,X09,59,N,0,26,49,2,12,17,20,6,26,18,16,9,3,18,20,54,3,9,16,25,12,20,10,14,10,1,17
163,2005,138,1246,Y02,69,1153,Y07,60,N,0,25,49,7,12,12,18,7,29,16,15,7,5,17,20,61,7,26,13,19,16,21,10,10,4,4,19
164,2005,138,1403,W06,71,1211,W03,69,N,0,29,59,4,11,9,16,8,24,18,7,7,1,14,29,62,2,13,9,18,17,27,14,13,2,1,17
165,2005,138,1428,Y06,67,1328,Y03,58,N,0,22,37,5,8,18,28,9,30,15,20,2,2,19,21,66,2,19,14,19,19,14,3,7,8,3,24
166,2005,138,1449,W01,97,1334,W08,79,N,0,36,64,9,23,16,19,12,23,17,7,2,3,20,30,67,8,24,11,17,17,14,13,8,4,1,18
167,2005,138,1452,W07,111,1448,W02,105,N,2,37,70,7,21,30,39,10,25,20,11,5,5,26,36,71,9,23,24,36,17,29,23,18,7,3,28
168,2005,138,1454,X12,83,1130,X04,75,N,0,26,55,11,24,20,22,10,16,17,16,11,5,26,23,50,4,11,25,35,15,21,16,22,6,2,22
169,2005,139,1181,Y01,63,1280,Y09,55,N,0,19,50,8,21,17,21,13,30,8,16,8,6,22,20,62,4,13,11,21,18,21,9,10,7,5,19
